player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Kevin Knox II,Santa Cruz Warriors,Golden State Warriors,2025-02-19,10-Day,2024-25,2024
Kevin Knox II,Santa Cruz Warriors,Golden State Warriors,2025-03-23,Standard,2024-25,2024
Kevon Harris,College Park Skyhawks,Atlanta Hawks,2025-03-01,10-Day,2024-25,2024
Khyri Thomas,Austin Spurs,Houston Rockets,2021-05-07,10-Day,2020-21,2021
Killian Hayes,Long Island Nets,Brooklyn Nets,2025-02-20,10-Day,2024-25,2024
Kobi Simmons,Greensboro Swarm,Charlotte Hornets,2023-03-30,Two-Way,2022-23,2022
Kobi Simmons,Raptors 905,Toronto Raptors,2024-03-25,10-Day,2023-24,2023
Kris Dunn,Agua Caliente Clippers,Portland Trail Blazers,2022-03-14,10-Day,2021-22,2021
Kris Dunn,Capital City Go-Go,Utah Jazz,2023-02-22,10-Day,2022-23,2022
Kyle Alexander,Sioux Falls Skyforce,Miami Heat,2020-01-15,Two-Way,2019-20,2019
Kyle Guy,Cleveland Charge,Miami Heat,2021-12-30,10-Day,2021-22,2021
Kylor Kelley,South Bay Lakers,Dallas Mavericks,2025-01-26,Two-Way,2024-25,2024
Kylor Kelley,South Bay Lakers,New Orleans Pelicans,2025-04-03,10-Day,2024-25,2024
Lamar Stevens,Motor City Cruise,Memphis Grizzlies,2025-02-21,10-Day,2024-25,2024
Lance Stephenson,Grand Rapids Gold,Atlanta Hawks,2021-12-22,10-Day,2021-22,2021
Landry Shamet,Westchester Knicks,New York Knicks,2024-12-23,Standard,2024-25,2024
Langston Galloway,College Park Skyhawks,Brooklyn Nets,2021-12-16,10-Day,2021-22,2021
Lester Quinones,Santa Cruz Warriors,Golden State Warriors,2023-03-02,10-Day,2022-23,2022
Lester Quinones,Santa Cruz Warriors,Golden State Warriors,2023-03-17,Two-Way,2022-23,2022
Lester Quinones,Birmingham Squadron,New Orleans Pelicans,2025-03-02,Two-Way,2024-25,2024
Levi Randolph,Canton Charge,Cleveland Cavaliers,2020-01-06,Two-Way,2019-20,2019
Lindell Wigginton,Wisconsin Herd,Milwaukee Bucks,2022-01-13,Two-Way,2021-22,2021
